1261339028 1261342640 3612
1261344271 1261380198 35927
1261384155 1261418126 33971
1261422713 1261432943 10230
1261436872 1261443310 6438
1261447326 1261531617 84291
1261535312 1261580528 45216
1261583854 1261641084 57230
1261654016 1261663763 9747
1261663915 1261848138 184223
1261854659 1261859271 4612
1261859291 1262112768 253477
1262112774 1262188728 75954
1262198078 1262198857 779
1262200958 1262230488 29530
1262232415 1262234666 2251
1262239461 1262278048 38587
1262281048 1262291081 10033
1262293167 1262329170 36003
1262333141 1262335223 2082
1262339557 1262342302 2745
1262352751 1262364521 11770
1262440555 1262444417 3862
1262459639 1262461451 1812
1262461493 1262466428 4935
1262471488 1262595363 123875
1262607622 1262620957 13335
1262621078 1262637575 16497
1262637758 1262638867 1109
1262642747 1262653204 10457
1262653854 1262705801 51947
1262711712 1262713645 1933
1262716081 1262772751 56670
1262833726 1262899765 66039
1262908706 1262944534 35828
1262947448 1262972491 25043
1262973087 1263049216 76129
1263077149 1263083381 6232
1263084917 1263160133 75216
1263164625 1263181869 17244
1263184089 1263233351 49262
1263235820 1263245308 9488
1263245572 1263249495 3923
1263254173 1263287036 32863
1263288960 1263330551 41591
1263333826 1263368221 34395
1263588386 1263594319 5933
1263597982 1263599374 1392
1263601587 1263601875 288
1263612488 1263616279 3791
1263618943 1263634588 15645
1263637798 1263652909 15111
1263674773 1263680830 6057
1263680852 1263685120 4268
1263688328 1263697638 9310
1263697770 1263751884 54114
1263752127 1263767422 15295
1263777550 1263795012 17462
1263806320 1263850547 44227
1263855607 1263924944 69337
1263942972 1263961795 18823
1263966840 1263983837 16997
1263986569 1264000088 13519
1264001857 1264011283 9426
1264013167 1264046619 33452
1264046648 1264046666 18
1264050328 1264056807 6479
1264063444 1264115964 52520
1264119483 1264137658 18175
1264145647 1264186707 41060
1264195637 1264258532 62895
1264294887 1264452541 157654
1264468070 1264468276 206
1264468484 1264528206 59722
1264534237 1264547741 13504
1264547790 1264570812 23022
1264570898 1264575694 4796
1264578718 1264610469 31751
1264612159 1264651022 38863
1264653129 1264682801 29672
1264682991 1264769385 86394
1264783968 1264784647 679
1264784753 1264791696 6943
1264792615 1264805905 13290
1264806007 1264820328 14321
1264822400 1264848318 25918
1264885288 1264889985 4697
1264895816 1264924637 28821
1264927797 1264962692 34895
1264967213 1264970252 3039
1264977676 1265025128 47452
1265046699 1265046949 250
1265047349 1265050822 3473
1265061519 1265106172 44653
1265106244 1265133145 26901
1265140477 1265148772 8295
1265148816 1265152964 4148
1265153188 1265209024 55836
1265212711 1265265256 52545
1265265425 1265400128 134703
1265414825 1265431560 16735
1265435146 1265468268 33122
1265488975 1265502570 13595
1265505452 1265509298 3846
1265509533 1265521063 11530
1265525301 1265548849 23548
1265555332 1265563390 8058
1265565920 1265572779 6859
1265575568 1265575649 81
1265575691 1265607164 31473
1265616712 1265626074 9362
1265649130 1265659812 10682
1265661846 1265747952 86106
1265752605 1265756343 3738
1265853330 1265865245 11915
1265865273 1266001262 135989
1266006420 1266048278 41858
1266054049 1266064786 10737
1266067317 1266073316 5999
1266097079 1266100380 3301
1266100641 1266116302 15661
1266124319 1266188642 64323
1266196469 1266232566 36097
1266232751 1266257083 24332
1266270670 1266342818 72148
1266350404 1266460304 109900
1266466233 1266492220 25987
1266493809 1266514074 20265
1266519189 1266606021 86832
1266613720 1266677801 64081
1266699635 1266789671 90036
1266793981 1266806995 13014
1266821620 1266824931 3311
1266825099 1266828196 3097
1266832906 1266868240 35334
1266884413 1267140540 256127
1267159681 1267210881 51200
1267216697 1267282830 66133
1267318201 1267318694 493
1267320520 1267378579 58059
1267380081 1267397652 17571
1267404266 1267489102 84836
1267493646 1267518707 25061
1267519404 1267531708 12304
1267532228 1267553052 20824
1267556504 1267589092 32588
1267594722 1267758249 163527
1267766243 1267774189 7946
1267779304 1267812037 32733
1267817638 1267821274 3636
